datetime,dhr_forecast,esn_forecast,hybrid_forecast
2021-01-03 07:00:00,0.009122567123334842,0.08468868321380778,0.024235790341429427
2021-01-03 08:00:00,0.016808012137863888,0.11724364680301273,0.03689513907089365
2021-01-03 09:00:00,0.02132523740243619,0.1524537257722488,0.04755093507639871
2021-01-03 10:00:00,0.03306422086203648,0.17786549926856238,0.06202447654334165
2021-01-03 11:00:00,0.04521991256762597,0.1927025412444224,0.07471643830298524
2021-01-03 12:00:00,0.05854815107819154,0.19706617069413412,0.08625175500138005
2021-01-03 13:00:00,0.05644032980857657,0.1879599118863914,0.08274424622413953
2021-01-03 14:00:00,0.05069915567948185,0.17583064697340123,0.07572545393826571
2021-01-03 15:00:00,0.04496311654199894,0.1618377323914969,0.06833803971189853
2021-01-03 16:00:00,0.015731140731025058,0.14691515923565143,0.04196794443195033
2021-01-03 17:00:00,0.0,0.1172417903254467,0.023448358065089332
2021-01-03 18:00:00,0.0,0.11663602261749265,0.023327204523498523
2021-01-03 19:00:00,0.0,0.10973120362949026,0.02194624072589805
2021-01-03 20:00:00,0.0033226626407243873,0.08958131547468871,0.02057439320751725
2021-01-03 21:00:00,0.004553587821872238,0.06841236015166274,0.017325342287830336
2021-01-03 22:00:00,0.01286508596016398,0.05378370323098855,0.021048809414328892
2021-01-03 23:00:00,0.026806796149880078,0.048359394460127235,0.03111731581192951
2021-01-04 00:00:00,0.04466288535205788,0.057792866467366366,0.047288881575119575
2021-01-04 01:00:00,0.06306795501404493,0.07969819491491949,0.06639400299421984
2021-01-04 02:00:00,0.07781437875914123,0.1064171190360996,0.0835349268145329
2021-01-04 03:00:00,0.09369820507155593,0.13315185516463238,0.10158893509017122
2021-01-04 04:00:00,0.10397380147001059,0.1459797403024904,0.11237498923650655
2021-01-04 05:00:00,0.11397231255406455,0.14516771230499453,0.12021139250425054
2021-01-04 06:00:00,0.1208128304325481,0.1442448491641708,0.12549923417887265
2021-01-04 07:00:00,0.12450879543922075,0.15276770359115296,0.13016057706960718
2021-01-04 08:00:00,0.11931653089211794,0.1578437714875029,0.12702197901119494
2021-01-04 09:00:00,0.10768268456555068,0.15701811132632557,0.11754976991770566
2021-01-04 10:00:00,0.1099490857828283,0.1430080409227638,0.1165608768108154
